Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Cerimonia matrimonio Eleonora e Luca,09/26/2026,11:30 AM,09/26/2026,12:30 PM,False,"Inizio cerimonia alle 11:30 (da confermare).","Comune di Bobbio, Piazza S Chiara 1, 29022 Bobbio PC",True
Ricevimento matrimonio Eleonora e Luca,09/26/2026,01:00 PM,09/26/2026,10:00 PM,False,"Pranzo e festa fino alle 22:00.","Agriturismo Il Torrione del Trebbia, Località Morina 1, 29022 Bobbio PC",True
